// "Country Name", Width, Height, Destination X (Map Space, Top Left Origin), Destination Y (Map Space, Top Left Origin), Sprites per Row, Center X, Center Y

"Alaska", 177, 84, 0, 64, 12, 80, 80
"Northwest Territory", 378, 106, 130, 11, 12, 250, 100
"Greenland", 289, 109, 453, 8, 12, 600, 50
"Alberta", 156, 51, 158, 119, 12, 250, 150
"Ontario", 121, 68, 316, 119, 12, 350, 150
"Quebec", 128, 88, 421, 104, 12, 450, 150
"Hawaii", 23, 14, 42, 290, 12, 60, 300
"Western United States", 144, 100, 208, 170, 12, 250, 200
"Eastern United States", 141, 107, 339, 170, 12, 400, 200
"Central America", 188, 116, 244, 243, 12, 300, 275
"Caribbean Islands", 119, 64, 398, 267, 12, 450, 300
"Svalbard", 78, 19, 848, 22, 12, 875, 30
"Iceland", 52, 14, 682, 87, 12, 700, 95
"Scandinavia", 123, 76, 821, 65, 12, 850, 100
"Great Britain", 57, 43, 749, 120, 12, 800, 150
"Northern Europe", 96, 39, 811, 140, 12, 850, 150
"Ukraine", 227, 163, 897, 38, 12, 1000, 100
"Western Europe", 77, 66, 753, 160, 12, 900, 180
"Southern Europe", 109, 62, 828, 169, 12, 775, 200
"Ural", 146, 120, 1070, 55, 12, 1100, 100
"Siberia", 158, 148, 1179, 19, 12, 1250, 100
"Yakutsk", 265, 93, 1298, 42, 12, 1400, 100
"Kamchatka", 281, 134, 1416, 63, 12, 1600, 100
"Afghanistan", 171, 89, 1017, 139, 12, 1100, 200
"Irkutsk", 212, 68, 1218, 99, 12, 1300, 150
"Mongolia", 217, 92, 1214, 148, 12, 1300, 200
"Japan", 108, 92, 1402, 179, 12, 1420, 240
"Middle East", 171, 135, 920, 199, 12, 1000, 250
"India", 168, 147, 1084, 217, 12, 1150, 300
"China", 233, 138, 1145, 170, 12, 1300, 250
"Siam", 82, 123, 1234, 265, 12, 1250, 300
"Venezuela", 126, 72, 425, 334, 12, 500, 350
"Peru", 125, 132, 413, 386, 12, 475, 475
"Brazil", 185, 183, 448, 369, 12, 550, 450
"Argentina", 103, 172, 439, 476, 12, 500, 550
"Falkland Islands", 15, 6, 509, 626, 12, 515, 630
"North Africa", 191, 161, 716, 221, 12, 800, 300
"Egypt", 125, 59, 842, 240, 12, 900, 275
"Congo", 100, 108, 840, 344, 12, 900, 400
"East Africa", 139, 180, 902, 286, 12, 975, 350
"South Africa", 137, 132, 854, 420, 12, 900, 500
"Madagascar", 34, 62, 1003, 447, 12, 1025, 475
"Philippines", 46, 62, 1351, 306, 12, 1390, 350
"Indonesia", 173, 84, 1248, 358, 12, 1325, 400
"New Guinea", 154, 54, 1412, 391, 12, 1475, 425
"Western Australia", 129, 109, 1332, 454, 12, 1425, 525
"Eastern Australia", 119, 151, 1406, 441, 12, 1500, 500
"New Zealand", 56, 59, 1586, 549, 12, 1600, 600
"Antarctica", 1704, 133, 0, 671, 1, 775, 775
